opened,closed,px_open,px_close,long_strike,short_strike,long_delta,short_delta,expiration,dte,days_held,contracts,debit,cost,entry_equity,equity_fraction,value_at_close,gross_pnl,fees,net_pnl,reason,multiple
2013-01-04,2013-01-25,66.63,67.0,69.0,70.0,0.17496,0.09201,2013-02-01,28,21,8,0.15,120.0,12330.0,0.009732360097323601,0.009999999999999998,-111.99999999999999,20.8,-132.79999999999998,SL,0.06666666666666667
2013-01-11,2013-01-25,67.26,67.0,70.0,71.0,0.17373,0.08267,2013-02-16,36,14,8,0.14,112.00000000000001,12303.6,0.009103026756396503,0.02,-96.00000000000001,20.8,-116.80000000000003,SL,0.14285714285714285
2013-01-18,2013-02-15,67.07,67.75,69.0,71.0,0.23352,0.05324,2013-02-22,35,28,8,0.29000000000000004,232.00000000000003,12157.2,0.019083341558911594,0.03,-208.0,20.8,-228.8,SL,0.10344827586206895
2013-01-25,2013-02-22,67.0,67.139,69.0,71.0,0.2051,0.05007,2013-03-01,35,28,8,0.24999999999999997,199.99999999999997,11950.000000000002,0.016736401673640162,0.01,-191.99999999999997,20.8,-212.79999999999998,SL,0.04000000000000001
2013-02-01,2013-02-22,67.66,67.139,69.0,71.0,0.27069,0.04684,2013-03-01,28,21,8,0.32999999999999996,263.99999999999994,11995.600000000002,0.022008069625529352,0.01,-255.99999999999997,20.8,-276.79999999999995,SL,0.030303030303030307
2013-02-08,2013-02-22,67.99,67.139,70.0,72.0,0.21084,0.05465,2013-03-16,36,14,8,0.24,192.0,11969.200000000003,0.01604117234234535,0.03,-168.0,20.8,-188.8,SL,0.125
2013-02-15,2013-03-22,67.75,68.59,69.5,71.0,0.2173,0.07313,2013-03-22,35,35,8,0.25,200.0,11428.400000000003,0.017500262503937554,0.0,-200.0,20.8,-220.8,EXP,0.0
2013-02-22,2013-03-28,67.139,68.97,69.0,71.0,0.2191,0.03888,2013-03-28,34,34,8,0.28,224.00000000000003,11034.800000000005,0.02029941639177873,0.0,-224.00000000000003,20.8,-244.80000000000004,EXP,0.0
2013-03-08,2013-03-28,68.77,68.97,70.5,72.0,0.19618,0.05528,2013-04-05,28,20,8,0.19,152.0,11310.000000000005,0.013439434129089295,0.0,-152.0,20.8,-172.8,SL,0.0
2013-03-01,2013-04-05,67.38,67.861,69.5,70.5,0.19257,0.08024,2013-04-05,35,35,8,0.18,144.0,10960.400000000005,0.013138206634794345,0.0,-144.0,20.8,-164.8,EXP,0.0
2013-03-22,2013-04-05,68.59,67.861,71.0,72.0,0.16595,0.06609,2013-04-26,35,14,8,0.15,120.0,10710.800000000007,0.011203644919147023,0.010000000000000002,-111.99999999999999,20.8,-132.79999999999998,SL,0.06666666666666668
2013-03-15,2013-04-19,68.51,68.09,70.0,72.0,0.25908,0.06428,2013-04-20,36,35,8,0.29000000000000004,232.00000000000003,10883.600000000006,0.021316476165974485,0.0,-232.00000000000003,20.8,-252.80000000000004,EXP,0.0
2013-03-28,2013-04-19,68.97,68.09,71.0,72.5,0.21179,0.06328,2013-05-03,36,22,8,0.24000000000000002,192.00000000000003,10431.600000000008,0.018405613712182203,0.02,-176.00000000000003,20.8,-196.80000000000004,SL,0.08333333333333333
2013-04-12,2013-04-19,69.94,68.09,72.0,74.0,0.21179,0.05749,2013-05-18,36,7,8,0.25,200.0,10550.00000000001,0.018957345971563965,0.030000000000000002,-176.0,20.8,-196.8,SL,0.12000000000000001
2013-04-05,2013-05-03,67.861,72.12,70.0,71.5,0.18495,0.04865,2013-05-03,28,28,8,0.21,168.0,9872.400000000009,0.017017138689680307,1.3900000000000001,944.0000000000001,20.8,923.2000000000002,EXP,6.6190476190476195
2013-04-19,2013-05-24,68.09,73.41,70.0,72.0,0.25684,0.0897,2013-05-24,35,35,8,0.38999999999999996,311.99999999999994,9500.40000000001,0.03284072249589487,1.8900000000000001,1200.0000000000002,20.8,1179.2,EXP,4.846153846153847
2013-04-26,2013-05-31,69.57,73.25,72.0,73.0,0.18804,0.08672,2013-05-31,35,35,8,0.17,136.0,9794.000000000011,0.013886052685317526,0.9199999999999999,599.9999999999999,20.8,579.1999999999999,EXP,5.411764705882352
2013-05-10,2013-05-31,73.05,73.25,75.0,77.0,0.224,0.06222,2013-06-07,28,21,8,0.26,208.0,11914.800000000012,0.017457280021485864,0.039999999999999994,-176.00000000000003,20.8,-196.80000000000004,SL,0.15384615384615383
2013-05-03,2013-06-07,72.12,73.39,74.0,76.0,0.25539,0.06893,2013-06-07,35,35,8,0.35,280.0,11533.200000000012,0.02427773731488223,0.0,-280.0,20.8,-300.79999999999995,EXP,0.0
2013-05-17,2013-06-07,74.3,73.39,77.0,79.0,0.16099,0.05744,2013-06-22,36,21,8,0.18,144.0,12592.400000000012,0.011435469013055482,0.0,-144.0,20.8,-164.8,SL,0.0
2013-05-24,2013-06-14,73.41,72.28,76.0,78.0,0.16454,0.05687,2013-06-28,35,21,8,0.18,144.0,11923.600000000013,0.012076889530007703,0.01,-136.0,20.8,-156.8,SL,0.05555555555555556
2013-05-31,2013-06-14,73.25,72.28,76.0,78.0,0.17034,0.05058,2013-07-05,35,14,8,0.22,176.0,11780.400000000014,0.014940069946691096,0.010000000000000002,-168.0,20.8,-188.8,SL,0.04545454545454546
2013-06-07,2013-06-21,73.39,70.43,75.0,77.0,0.24855,0.06374,2013-07-05,28,14,8,0.32,256.0,11413.200000000015,0.02243016857673568,0.0,-256.0,20.8,-276.79999999999995,SL,0.0
2013-06-14,2013-06-28,72.28,71.27,75.0,77.0,0.1926,0.05191,2013-07-20,36,14,8,0.24,192.0,11054.000000000016,0.017369278089379384,0.030000000000000002,-168.0,20.8,-188.8,SL,0.12500000000000003
2013-06-21,2013-07-26,70.43,75.37,73.0,75.0,0.23006,0.07948,2013-07-26,35,35,8,0.37,296.0,10825.200000000017,0.027343605660865345,1.9600000000000002,1272.0000000000002,20.8,1251.2,EXP,5.297297297297298
2013-06-28,2013-08-02,71.27,76.97,74.0,76.0,0.18462,0.04672,2013-08-02,35,35,8,0.27,216.0,10732.400000000018,0.020125973687152885,1.9600000000000002,1352.0000000000002,20.8,1331.2,EXP,7.2592592592592595
2013-07-05,2013-08-02,72.58,76.97,75.0,76.0,0.17107,0.07208,2013-08-02,28,28,8,0.15,120.0,11002.000000000018,0.010907107798582057,0.96,648.0,20.8,627.2,EXP,6.4
2013-07-12,2013-08-16,75.3,75.485,78.0,79.0,0.16416,0.09041,2013-08-17,36,35,9,0.13,117.0,12623.600000000019,0.009268354510599182,0.0,-117.0,23.400000000000002,-140.39999999999998,EXP,0.0
2013-08-02,2013-08-16,76.97,75.485,79.0,81.0,0.21183,0.05632,2013-09-06,35,14,9,0.29000000000000004,261.00000000000006,14450.300000000017,0.018061908749299305,0.009999999999999998,-252.00000000000003,23.400000000000002,-275.40000000000003,SL,0.03448275862068965
2013-07-19,2013-08-23,74.59,76.67,77.0,79.0,0.18582,0.05156,2013-08-23,35,35,9,0.25,225.0,12065.900000000018,0.01864759363163955,0.0,-225.0,23.400000000000002,-248.39999999999998,EXP,0.0
2013-07-26,2013-08-30,75.37,75.47,78.0,79.0,0.14455,0.07204,2013-08-30,35,35,9,0.14,126.00000000000001,12963.800000000017,0.009719372406238899,0.0,-126.00000000000001,23.400000000000002,-149.4,EXP,0.0
2013-08-09,2013-08-30,76.49,75.47,78.0,80.0,0.27086,0.07734,2013-09-06,28,21,9,0.33,297.0,13844.600000000017,0.02145240743683455,0.0,-297.0,23.400000000000002,-320.4,SL,0.0
2013-08-16,2013-09-20,75.485,78.985,78.0,80.0,0.18194,0.05208,2013-09-21,36,35,9,0.22999999999999998,207.0,13071.500000000015,0.015835979038365894,0.97,666.0,23.400000000000002,642.5999999999999,EXP,4.217391304347826
2013-08-23,2013-09-27,76.67,79.07,79.0,81.0,0.20039,0.05958,2013-09-27,35,35,9,0.28,252.00000000000003,13210.100000000013,0.01907631282125039,0.09000000000000001,-171.0,23.400000000000002,-194.39999999999998,EXP,0.32142857142857145
2013-08-30,2013-10-04,75.47,79.4,78.0,80.0,0.23331,0.08008,2013-10-04,35,35,9,0.35,315.0,12635.000000000011,0.02493074792243765,1.36,909.0000000000002,23.400000000000002,885.6000000000001,EXP,3.885714285714286
2013-09-06,2013-10-04,76.93,79.4,79.0,81.0,0.22189,0.06622,2013-10-04,28,28,9,0.29,260.99999999999994,12893.30000000001,0.020243071983122998,0.36,63.00000000000001,23.400000000000002,39.6,EXP,1.2413793103448276
2013-09-13,2013-10-18,78.06,82.14,80.0,82.0,0.24973,0.08463,2013-10-19,36,35,9,0.32999999999999996,296.99999999999994,13349.60000000001,0.02224785761371125,1.9500000000000002,1458.0,23.400000000000002,1434.6,EXP,5.90909090909091
2013-09-20,2013-10-25,78.985,82.9,81.0,83.0,0.24074,0.08009,2013-10-25,35,35,9,0.32999999999999996,296.99999999999994,14640.200000000008,0.02028660810644662,1.83,1350.0,23.400000000000002,1326.6,EXP,5.545454545454547
